id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9957,TON,2019,kubis
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12274,TON,2019,kubis
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,97813,TON,2019,kubis
167,32,JAWA BARAT,3205,KABUPATEN GARUT,135245,TON,2019,kubis
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,775,TON,2019,kubis
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,629,TON,2019,kubis
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,733,TON,2019,kubis
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2019,kubis
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4505,TON,2019,kubis
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7360,TON,2019,kubis
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2019,kubis
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,610,TON,2019,kubis
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,61,TON,2019,kubis
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2019,kubis
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019,kubis
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4423,TON,2019,kubis
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,TON,2019,kubis
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019,kubis
182,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2019,kubis
183,32,JAWA BARAT,3273,KOTA BANDUNG,188,TON,2019,kubis
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019,kubis
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019,kubis
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019,kubis
187,32,JAWA BARAT,3277,KOTA CIMAHI,10,TON,2019,kubis
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019,kubis
189,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2019,kubis
